,Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
143,thenataliahms,Natalia Hurtado de Mendoza,73900.0,3500000.0,259600.00000000003,928.0,11800.0
144,loganpaul,Logan Paul,15900000.0,4800000.0,976900.0,1400.0,1000.0
145,andyarthursmith,Andy Arthur Smith,2200000.0,3300000.0,564700.0,3300.0,2800.0
146,cauwave,cauwave,1400000.0,2600000.0,396600.0,2700.0,8200.0
147,nicollefigueroaa,Nicolle Figueroa,12700000.0,5500000.0,766100.0,1800.0,882.0
148,brookemonk_,Brooke Monk,23600000.0,5700000.0,620800.0,1800.0,1300.0
149,oldtimehawkey,Old Time Hawkey,6400000.0,2900000.0,445500.0,4600.0,4000.0
150,mix_151,مكس _Mix,3400000.0,4800000.0,481900.0,3200.0,1400.0
151,mmmjoemele,Joe Mele,22800000.0,5700000.0,848400.0,1200.0,1000.0
152,lordtrunks,Lord Trunks,2200000.0,4200000.0,386900.0,3000.0,3600.0
153,paytonking,Payton King,5300000.0,2600000.0,325000.0,4800.0,7600.0
154,squatch.and.sons_customs,Squatch and Sons Customs,213600.0,7700000.0,471300.0,1600.0,1200.0
155,incorrectlyroce,Roce Ordoñez,8400000.0,3900000.0,678600.0,2200.0,1700.0
156,lifeofclare,Clare Thurkett,42200.0,3100000.0,724400.0,1200.0,3400.0
157,patrickbarnes,Patrick Barnes,2400000.0,2200000.0,417200.0,3900.0,7300.0
158,the.historical,History Footage,201500.0,2900000.0,346200.0,4800.0,5100.0
159,blamerobertjames,blamerobertjames,159300.0,3500000.0,347200.0,4400.0,3900.0
160,pollerocho,pollerocho,3500000.0,3500000.0,567200.0,841.0,4200.0
161,ferchugimenez,Fernanda,7700000.0,4500000.0,825600.0,1500.0,1100.0
162,jaykindafunny8,Jaykindafunny,24300000.0,4800000.0,612400.0,1300.0,2000.0
163,kulinaria.recetas,AGUS LIPORACE,3800000.0,3400000.0,408900.0,443.0,6400.0
164,cocielo,Júlio Cocielo,5000000.0,2300000.0,675900.0,2000.0,4100.0
165,darylsabara,darylsabara,695700.0,3600000.0,628500.0,1900.0,2100.0
166,livefromthepark,Ninjy Dave,369000.0,2200000.0,130199.99999999999,1000.0,30600.0
167,saraisthreads,Sarai Marie,1600000.0,2300000.0,462700.0,2600.0,6100.0
168,fhd.artz,فهد آرت || Fahad🎨,2200000.0,4500000.0,288800.0,5400.0,1400.0
169,ig_alongwiranda,🕌🏃,880700.0,3200000.0,129400.0,1200.0,20000.0
170,initiaraandini,tiara andini,5100000.0,3800000.0,419600.0,2600.0,3000.0
171,ndshvv,ndshvv,3200000.0,3800000.0,552400.0,3400.0,764.0
172,maiaknight,Maia Knight,8800000.0,4700000.0,720500.0,1600.0,960.0
173,homm9k,ХОМЯК,44400000.0,3800000.0,489800.0,3600.0,1100.0
174,dobretwins,Lucas and Marcus,36200000.0,4800000.0,453100.0,2800.0,1100.0
175,jacksepticeye,Jacksepticeye,4900000.0,2300000.0,559800.0,3800.0,2700.0
176,franckfs,Franck Farfán FS,5700000.0,4900000.0,330900.0,1000.0,4100.0
177,iamdtg,DTG,1200000.0,2200000.0,251900.0,2200.0,12900.0
178,jihansalsabila44,Jihan Salsabila,1600000.0,2700000.0,366400.0,3600.0,4500.0
179,brentrivera,Brent Rivera,44900000.0,4900000.0,574400.0,2000.0,813.0
180,rayandmadalyn,Ray & Madalyn,1100000.0,3600000.0,496100.0,1800.0,2600.0
181,nessaabarrett,Ness,19400000.0,4000000.0,420500.0,2700.0,2000.0
182,leanadeeb,Leana Deeb,10400000.0,3900000.0,573500.0,1300.0,2100.0
183,just.hamilton,Just Hamilton,2900000.0,2300000.0,371100.0,1900.0,7000.0
184,wilmah10,wilmah10,6300.0,2900000.0,208200.0,2700.0,9900.0
185,official_kep1er,Kep1er,4800000.0,2700000.0,518500.0,3600.0,1700.0
186,loicsuberville,Loïc Suberville,2400000.0,2400000.0,458100.0,1600.0,5200.0
187,lana_mohd89,𝑳𝑨𝑵𝑨 🦋,5700000.0,4099999.9999999995,293400.0,3700.0,2600.0
188,bigtugg,Tucker Lindgren,1300000.0,2000000.0,444000.0,3100.0,5300.0
189,jvke,JVKE,7700000.0,3700000.0,582200.0,2100.0,1300.0
190,bayashi.tiktok,バヤシ🥑Bayashi,33600000.0,4400000.0,492000.0,2600.0,786.0
191,bilalahy,Bilal,3500000.0,2200000.0,492000.0,1900.0,4700.0
192,spicyycam_,Spice King,19500000.0,4200000.0,414100.0,2800.0,1300.0
193,duythamchannel,Duy Thẩm,4000000.0,5000000.0,492500.0,2200.0,708.0
194,fedevigevani,Fede Vigevani,14600000.0,4000000.0,457200.0,2700.0,1100.0
